;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/13 00:00:00;19.41;0.00;0.00;0.00;22.21;0.00;-99.00;0.13;-99.00;32.98;0.54;0.00;23.18;5.95;55.94;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.06;55.95;-99.00;0.00;32.44;-99.00;0.00;13.40;-0.63;31.70;-99.00;-99.00;4.00;21.35;0.00;-99.00;0.00;0.00
2023/07/13 00:15:00;19.43;0.00;0.00;0.00;22.15;0.00;-99.00;0.13;-99.00;32.94;0.55;0.00;23.17;5.95;55.94;0.00;-99.00;237.93;0.00;-99.00;0.00;-99.00;14.09;55.95;-99.00;0.00;32.41;-99.00;0.00;13.40;-0.63;31.70;-99.00;-99.00;4.00;21.10;0.00;-99.00;0.00;0.00
2023/07/13 00:30:00;19.45;0.00;0.00;0.00;22.00;0.00;-99.00;0.12;-99.00;32.94;0.53;0.00;23.18;5.95;55.94;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.10;55.87;-99.00;0.00;32.40;-99.00;0.00;13.48;-0.60;31.70;-99.00;-99.00;4.00;20.60;0.00;-99.00;0.00;0.00
2023/07/13 00:45:00;19.47;0.00;0.00;0.00;21.89;0.00;-99.00;0.12;-99.00;32.90;0.57;0.00;23.17;5.95;55.94;0.00;-99.00;237.89;0.00;-99.00;0.00;-99.00;14.14;55.87;-99.00;0.00;32.39;-99.00;0.00;13.50;-0.71;31.65;-99.00;-99.00;4.00;20.10;0.00;-99.00;0.00;0.00
2023/07/13 01:00:00;19.43;0.00;0.00;0.00;21.70;0.00;-99.00;0.13;-99.00;32.90;0.58;0.00;23.16;5.97;55.94;0.00;-99.00;237.96;0.00;-99.00;0.00;-99.00;14.20;55.86;-99.00;0.00;32.40;-99.00;0.00;13.50;-0.85;31.60;-99.00;-99.00;4.00;19.45;0.00;-99.00;0.00;0.00
2023/07/13 01:15:00;19.46;0.00;0.00;0.00;21.60;0.00;-99.00;0.13;-99.00;32.90;0.55;0.00;23.15;5.99;55.93;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;14.27;55.87;-99.00;0.00;32.40;-99.00;0.00;13.59;-0.93;31.60;-99.00;-99.00;4.00;19.10;0.00;-99.00;0.00;0.00
2023/07/13 01:30:00;19.48;0.00;0.00;0.00;21.60;0.00;-99.00;0.14;-99.00;32.90;0.56;0.00;23.15;6.00;55.91;0.00;-99.00;237.93;0.00;-99.00;0.00;-99.00;14.26;55.87;-99.00;0.00;32.33;-99.00;0.00;13.60;-0.70;31.60;-99.00;-99.00;4.00;19.15;0.00;-99.00;0.00;0.00
2023/07/13 01:45:00;19.44;0.00;0.00;0.00;21.49;0.00;-99.00;0.13;-99.00;32.89;0.55;0.00;23.15;6.01;55.91;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;14.31;55.87;-99.00;0.00;32.30;-99.00;0.00;13.60;-0.57;31.53;-99.00;-99.00;4.00;19.00;0.00;-99.00;0.00;0.00
2023/07/13 02:00:00;19.49;0.00;0.00;0.00;21.36;0.00;-99.00;0.12;-99.00;32.88;0.55;0.00;23.15;5.99;55.91;0.00;-99.00;238.07;0.00;-99.00;0.00;-99.00;14.36;55.86;-99.00;0.00;32.29;-99.00;0.00;13.70;-0.67;31.50;-99.00;-99.00;4.00;18.70;0.00;-99.00;0.00;0.00
2023/07/13 02:15:00;19.49;0.00;0.00;0.00;21.20;0.00;-99.00;0.13;-99.00;32.84;0.55;0.00;23.15;5.99;55.91;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;14.37;55.86;-99.00;0.00;32.23;-99.00;0.00;13.70;-0.60;31.50;-99.00;-99.00;4.00;18.80;0.00;-99.00;0.00;0.00
2023/07/13 02:30:00;19.48;0.00;0.00;0.00;20.95;0.00;-99.00;0.13;-99.00;32.80;0.56;0.00;23.15;5.99;55.91;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.41;55.86;-99.00;0.00;32.20;-99.00;0.00;13.72;-0.87;31.50;-99.00;-99.00;4.00;18.65;0.00;-99.00;0.00;0.00
2023/07/13 02:45:00;19.47;0.00;0.00;0.00;20.58;0.00;-99.00;0.12;-99.00;32.77;0.54;0.00;23.14;5.99;55.91;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;14.43;55.86;-99.00;0.00;32.20;-99.00;0.00;13.80;-0.67;31.42;-99.00;-99.00;4.00;18.30;0.00;-99.00;0.00;0.00
2023/07/13 03:00:00;19.46;0.00;0.00;0.00;20.07;0.00;-99.00;0.13;-99.00;32.71;0.54;0.00;23.11;5.99;55.91;0.00;-99.00;238.07;0.00;-99.00;0.00;-99.00;14.49;55.86;-99.00;0.00;32.20;-99.00;0.00;13.80;-0.77;31.40;-99.00;-99.00;4.00;18.10;0.00;-99.00;0.00;0.00
2023/07/13 03:15:00;19.50;0.00;0.00;0.00;19.62;0.00;-99.00;0.13;-99.00;32.70;0.54;0.00;23.06;6.00;55.91;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.49;55.87;-99.00;0.00;32.17;-99.00;0.00;13.80;-0.80;31.40;-99.00;-99.00;4.00;17.40;0.00;-99.00;0.00;0.00
2023/07/13 03:30:00;19.50;0.00;0.00;0.00;19.32;0.00;-99.00;0.13;-99.00;32.70;0.56;0.00;22.99;6.04;55.91;0.00;-99.00;238.07;0.00;-99.00;0.00;-99.00;14.54;55.86;-99.00;0.00;32.10;-99.00;0.00;13.90;-0.80;31.33;-99.00;-99.00;4.00;17.20;0.00;-99.00;0.00;0.00
2023/07/13 03:45:00;19.49;0.00;0.00;0.00;19.25;0.00;-99.00;0.13;-99.00;32.70;0.56;0.00;22.92;6.04;55.89;0.00;-99.00;237.90;0.00;-99.00;0.00;-99.00;14.56;55.86;-99.00;0.00;32.09;-99.00;0.00;13.90;-0.87;31.30;-99.00;-99.00;4.00;17.00;0.00;-99.00;0.00;0.00
2023/07/13 04:00:00;19.49;0.00;0.00;0.00;19.10;0.00;-99.00;0.12;-99.00;32.69;0.55;0.00;22.86;6.03;55.88;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;14.62;55.86;-99.00;0.00;32.05;-99.00;81.75;13.90;-0.67;31.30;-99.00;-99.00;4.00;16.95;0.00;-99.00;0.00;0.00
2023/07/13 04:15:00;19.50;0.00;0.00;0.00;18.81;0.00;-99.00;0.13;-99.00;32.67;0.56;0.00;22.79;6.06;55.88;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;14.63;55.86;-99.00;0.00;32.00;-99.00;0.00;13.95;-0.93;31.26;-99.00;-99.00;4.00;16.60;0.00;-99.00;0.00;0.00
2023/07/13 04:30:00;19.50;0.00;0.00;0.00;18.44;0.00;-99.00;0.13;-99.00;32.62;0.58;0.00;22.72;6.21;55.88;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.70;55.87;-99.00;0.00;32.00;-99.00;0.00;14.00;-0.70;31.20;-99.00;-99.00;4.00;16.35;0.00;-99.00;0.00;0.00
